,exchanges,hours,last_exchange,members,offers,requests,timebank
107,3273,7742,35 min 1 sec ago,166,180,211,stpete
108,2,7,17 weeks 1 day ago,126,5,4,startribehours
109,1964,4760,1 day 4 hours ago,50,105,93,swel
110,29,149,36 weeks 6 days ago,28,16,9,takomatime
111,12,52,46 weeks 19 min ago,12,17,16,taneycounty
112,2517,5722,19 min 29 sec ago,291,63,66,taranaki
113,1,1,25 weeks 1 day ago,3,0,0,test-launch-2018-07-28-2058
114,1,2,12 weeks 1 day ago,19,1,2,thecommunityproject
115,2988,6027,3 days 15 hours ago,266,46,35,huttsouth
116,11923,153370,2 hours 41 min ago,860,15,26,lyttelton
117,1,2,1 year 51 weeks ago,10,1,1,sanctuaryseniorvillage
118,4512,7863,6 weeks 5 hours ago,65,161,160,tierrasanta
119,3,3,3 years 24 weeks ago,18,0,0,galesburgil
120,446,1950,1 year 12 weeks ago,209,2,2,westmilford
121,468,900,3 hours 24 min ago,119,82,80,stannsbay
122,21,42,11 weeks 15 hours ago,16,1,4,kaikoura
123,4539,28675,1 day 53 min ago,176,79,84,mainetime
124,26,647,12 weeks 20 hours ago,24,3,3,newzealand
125,95,61,2 years 2 weeks ago,79,1,1,tbfredericton
126,none (start up),none (start up),none (start up),2,0,0,tbhawaii
127,3434,14912,4 hours 11 min ago,340,19,17,hurunui
128,441,2953,13 weeks 20 hours ago,165,31,32,mcs1stopindy
129,730,1995,3 weeks 6 days ago,87,42,45,manawatu
130,3915,16326,28 weeks 6 days ago,349,10,9,media
131,722,3117,5 days 23 hours ago,9,47,48,nb
132,2230,5058,20 hours 32 min ago,114,38,29,raglan
133,1696,8175,2 days 19 hours ago,73,27,24,upperhutt
134,30,87,1 day 33 min ago,23,7,7,waimakariri
135,none (start up),none (start up),none (start up),2,0,0,tb13069
136,2486,5571,5 days 2 hours ago,184,31,25,tops
137,9737,36524,2 days 7 hours ago,640,1,1,korea
138,37,63,3 years 33 weeks ago,33,4,4,tlv
139,316,1562,1 week 1 hour ago,133,23,29,timeforall
140,579,3717,1 year 31 weeks ago,96,4,4,timetradersnorth
