cat_id,cat_parent,category,count_talent,timebank
8,is_parent,"Arts, Crafts & Music",46,addington
61,8,Classes,8,0
62,8,Crafts,19,0
63,8,Entertainment,5,0
64,8,Lessons,4,0
67,8,Miscellaneous,2,0
65,8,Photo & Video,7,0
66,8,Theater,1,0
10,is_parent,Business Services,79,addington
75,10,Clerical,14,0
76,10,Computer Support,18,0
77,10,Financial,4,0
79,10,Marketing,7,0
81,10,Miscellaneous,9,0
174,10,Proof Reading,17,0
80,10,Research,10,0
4,is_parent,Community Activities,150,addington
33,4,Clean-up / Recycling,19,0
34,4,Community Service,22,0
175,4,Events,11,0
35,4,Fund-raising,13,0
86,4,Group Projects,15,0
36,4,Help Our TimeBank!,19,0
39,4,Miscellaneous,10,0
37,4,Special Projects,18,0
38,4,Work For Social Change,23,0
3,is_parent,Companionship,72,addington
26,3,Clubs,5,0
27,3,Dining Out,6,0
28,3,Email / IM,14,0
29,3,Home Visits,16,0
30,3,Medical Errands,6,0
32,3,Miscellaneous,10,0
31,3,Telephone Calls,15,0
7,is_parent,Education,85,addington
54,7,Advocacy,5,0
55,7,Classes / Workshops,15,0
56,7,Computers / Technology,20,0
57,7,Languages / Translation,8,0
60,7,Miscellaneous,8,0
58,7,Personal Finances,9,0
59,7,Tutoring / Mentoring,20,0
2,is_parent,Help At Home,95,addington
19,2,Child Care,12,0
20,2,Cooking & Baking,26,0
21,2,Hair & Beauty,2,0
22,2,Housekeeping / Chores,13,0
25,2,Miscellaneous,12,0
23,2,Pet Care,18,0
24,2,Respite Care,4,0
173,2,Sewing,8,0
9,is_parent,Home,53,addington
68,9,Car Care,2,0
69,9,Carpentry / Construction,4,0
70,9,Electrical,3,0
71,9,Garden & Yard Work,25,0
74,9,Miscellaneous,11,0
72,9,Painting,7,0
73,9,Plumbing,1,0
11,is_parent,Misc. (Not Above),41,addington
82,11,All Other Services,5,0
83,11,For Sale,7,0
85,11,Free Stuff,17,0
172,11,Miscellaneous,8,0
84,11,Wanted,4,0
6,is_parent,Recreation,57,addington
47,6,Books & Videos,14,0
48,6,Dancing,7,0
49,6,Events,10,0
50,6,Games,5,0
53,6,Miscellaneous,7,0
51,6,Sports,9,0
52,6,Travel,5,0
1,is_parent,Transportation,45,addington
12,1,Errands / Shopping,13,0
13,1,Local,15,0
14,1,Long Distance,2,0
15,1,Medical,4,0
18,1,Miscellaneous,3,0
16,1,Train / Bus / Airport,6,0
17,1,Worship,2,0
5,is_parent,Wellness,48,addington
40,5,Complementary Therapies,13,0
41,5,Counseling,4,0
42,5,Diet & Nutrition,9,0
43,5,Fitness & Exercise,6,0
44,5,Medical Services,2,0
46,5,Miscellaneous,8,0
45,5,Yoga / Meditation,6,0
8,is_parent,"Arts, Crafts & Music",10,aha
61,8,Classes,3,1
62,8,Crafts,2,1
64,8,Lessons,3,1
67,8,Miscellaneous,2,1
10,is_parent,Business Services,7,aha
76,10,Computer Support,3,1
79,10,Marketing,2,1
81,10,Miscellaneous,2,1
4,is_parent,Community Activities,1,aha
36,4,Help Our TimeBank!,1,1
7,is_parent,Education,8,aha
55,7,Classes / Workshops,4,1
60,7,Miscellaneous,1,1
59,7,Tutoring / Mentoring,3,1
157,is_parent,Gardens,8,aha
158,157,CSA,1,1
159,157,Hight Tunnels,1,1
160,157,Home Yard or Garden,3,1
161,157,Peoples Garden Projects,3,1
2,is_parent,Help At Home,15,aha
19,2,Child Care,3,1
172,2,Cooking,2,1
21,2,Hair & Beauty,1,1
22,2,Housekeeping / Chores,2,1
25,2,Miscellaneous,3,1
23,2,Pet Care,1,1
24,2,Respite Care,3,1
9,is_parent,Home,2,aha
69,9,Carpentry / Construction,1,1
72,9,Painting,1,1
11,is_parent,Misc. (Not Above),0,aha
6,is_parent,Recreation,2,aha
53,6,Miscellaneous,1,1
52,6,Travel,1,1
163,is_parent,Sharing Resoures,8,aha
165,163,Garden Tools,1,1
166,163,Kitchen Equipment,1,1
168,163,Miscellaneous,4,1
167,163,Sporting Equipment,2,1
154,is_parent,Transportation,2,aha
155,154,Auto,2,1
