exchanges,hours,last_exchange,members,name,offers,requests,url
1133,5998,6 hours 10 min ago,178,addington,36,27,http://addington.timebanks.org
439,1375,2 years 41 weeks ago,207,aha,0,0,http://aha.timebanks.org
