,exchanges,hours,last_exchange,members,offers,requests,timebank
107,3189,7558,5 hours 59 min ago,162,177,201,stpete
108,2,7,15 weeks 6 days ago,125,5,4,startribehours
109,1961,4756,6 days 12 hours ago,50,105,93,swel
110,29,149,35 weeks 3 days ago,28,16,9,takomatime
111,12,52,44 weeks 4 days ago,12,17,16,taneycounty
112,2482,5657,1 day 5 hours ago,287,58,60,taranaki
113,1,1,23 weeks 6 days ago,3,0,0,test-launch-2018-07-28-2058
114,1,2,10 weeks 5 days ago,19,1,2,thecommunityproject
115,2983,6015,2 hours 54 min ago,266,49,32,huttsouth
116,11920,153364,1 week 4 days ago,859,14,29,lyttelton
117,1,2,1 year 50 weeks ago,10,1,1,sanctuaryseniorvillage
118,4512,7863,4 weeks 4 days ago,65,161,160,tierrasanta
119,3,3,3 years 23 weeks ago,18,0,0,galesburgil
120,446,1950,1 year 10 weeks ago,209,2,2,westmilford
121,458,888,15 hours 28 min ago,119,81,79,stannsbay
122,21,42,9 weeks 4 days ago,16,1,5,kaikoura
123,4534,28667,1 day 4 hours ago,177,80,86,mainetime
124,26,647,10 weeks 5 days ago,24,3,3,newzealand
125,95,61,2 years 1 week ago,79,1,1,tbfredericton
126,none (start up),none (start up),none (start up),2,0,0,tbhawaii
127,3429,14906,1 day 6 hours ago,340,21,17,hurunui
128,441,2953,11 weeks 5 days ago,165,31,32,mcs1stopindy
129,730,1995,2 weeks 4 days ago,87,41,49,manawatu
130,3915,16326,27 weeks 3 days ago,349,10,9,media
131,712,3020,2 days 16 hours ago,8,44,45,nb
132,2213,4990,20 hours 15 min ago,114,38,29,raglan
133,1694,8172,3 weeks 23 hours ago,72,27,24,upperhutt
134,29,85,2 weeks 6 days ago,23,9,7,waimakariri
135,none (start up),none (start up),none (start up),2,0,0,tb13069
136,2485,5567,1 week 54 min ago,184,31,29,tops
137,9676,36449,1 day 22 hours ago,639,1,1,korea
138,37,63,3 years 32 weeks ago,33,4,4,tlv
139,314,1559,5 weeks 10 hours ago,133,23,29,timeforall
140,579,3717,1 year 30 weeks ago,96,3,3,timetradersnorth
141,19,170,1 week 1 day ago,51,3,6,togetherwecan
142,136,317,22 weeks 4 days ago,41,15,15,tullyarea
143,none (start up),none (start up),none (start up),2,0,0,ubuntu
144,1961,7307,3 days 23 hours ago,328,5,2,udc
145,186,670,3 weeks 3 days ago,91,13,19,unityexchange
146,none (start up),none (start up),none (start up),2,0,0,uva
147,112,217,2 years 51 weeks ago,36,0,0,villagece
148,1913,4686,18 weeks 4 days ago,245,12,10,waikato
149,155,314,4 weeks 19 hours ago,62,67,66,wairarapa
150,227,372,47 weeks 3 hours ago,44,2,3,waitaki
151,57,920,26 weeks 4 days ago,55,3,3,wanaka
152,8507,21863,1 week 1 day ago,589,75,105,wellingtonsouth
153,35,61,24 weeks 2 days ago,19,2,3,westprairievillage
154,3382,9657,10 hours 35 min ago,402,64,78,westseattle
155,1,1,1 year 30 weeks ago,10,0,0,wncw
156,20,30,2 years 28 weeks ago,25,0,0,wecompassionatecommunity
157,157,1054,4 weeks 4 days ago,149,10,8,york
