timebank,latitude,longitude,geo_accuracy,age_median,female_percent,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific,race_percent_other,race_percent_multi,race_percent_multi_other,race_percent_three,race_percent_hisp,race_percent_hisp_white,race_percent_hisp_black,race_percent_hisp_native,race_percent_hisp_asian,race_percent_hisp_pacific,race_percent_hisp_other,households_number,households_income_median,bachelors_male_percent,bachelors_female_percent,veteran_percent,households_family_percent,households_nowife_percent,households_nohusband_percent,housing_number_units,housing_percent_renters,housing_median_value
tbhawaii,20.726679,-156.340359,1,55.8,0.515,0.604,0.005,0.009000000000000001,0.081,0.078,0,0.067,0.011000000000000001,0.9890000000000001,0.081,0.14800000000000002,0,0,0.026000000000000002,0,0,655,84028,0.40700000000000003,0.35200000000000004,0.133,0.65,0.053,0.045,736,0.348,1001000
hurunui,38.427847,-84.81050400000001,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mcs1stopindy,39.709624,-86.26138900000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manawatu,45.310095000000004,-69.029462,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
media,39.918803999999994,-75.399118,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb,46.219809999999995,-64.54106999999999,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raglan,43.184371,-71.53804699999999,0.8,42.8,0.489,0.978,0,0.022000000000000002,0,0,0,0,0,0,0.001,1,0,0,0,0,0,617,82276,0.158,0.24600000000000002,0.081,0.7240000000000001,0.016,0.247,697,0.29,219700
upperhutt,38.427847,-84.81050400000001,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waimakariri,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tb13069,43.324784,-76.417372,1,36.6,0.5670000000000001,0.997,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,397,21844,0.015,0.046,0.09699999999999999,0.511,0.08,0.36200000000000004,556,0.736,75300
tops,47.665368,-122.165825,1,35.8,0.499,0.7240000000000001,0.057,0,0.153,0,0,0,0,0,0.049,0.985,0,0,0,0,0.015,486,98438,0.37200000000000005,0.42200000000000004,0.021,0.7240000000000001,0.08199999999999999,0.019,506,0.40299999999999997,927300
korea,37.942029,-83.47851800000001,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tlv,39.318153,-79.810901,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeforall,38.963291,-77.07736700000001,1,50.9,0.527,0.941,0.036000000000000004,0,0.024,0,0,0,0,0,0.114,1,0,0,0,0,0,835,147083,0.402,0.369,0.065,0.547,0,0.019,854,0.408,1067200
timetradersnorth,46.558577,-90.738773,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
togetherwecan,41.507073,-74.009496,1,40.3,0.457,0.23199999999999998,0.768,0,0,0,0,0.059000000000000004,1,0,0.214,0.29100000000000004,0,0,0,0,0.434,388,90200,0.18,0.182,0.053,0.508,0.04,0.294,510,0.485,238200
tullyarea,42.79157,-76.11567099999999,1,47.4,0.48100000000000004,0.955,0.018000000000000002,0.002,0,0,0.011000000000000001,0,0,0,0.043,0.9309999999999999,0,0,0.069,0,0,543,58984,0.19399999999999998,0.19399999999999998,0.121,0.6629999999999999,0.094,0.17600000000000002,609,0.365,230300
ubuntu,28.569667,-81.34477199999999,1,39.6,0.529,0.8909999999999999,0,0,0.035,0,0,0,0,0,0.067,0.6990000000000001,0.087,0,0,0,0.214,615,89112,0.499,0.257,0.061,0.584,0.125,0.165,650,0.221,262100
udc,38.944128000000006,-77.06440699999999,1,40.6,0.585,0.782,0.01,0,0.152,0,0,0,0,0,0.10300000000000001,0.506,0,0,0.494,0,0,678,161981,0.184,0.23600000000000002,0.031,0.608,0.028999999999999998,0.18600000000000003,694,0.22699999999999998,919300
unityexchange,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uva,38.034537,-78.50601,1,19.7,0.526,0.69,0.09300000000000001,0,0.152,0,0,0.006,0.857,0.14300000000000002,0.063,0.8240000000000001,0.027999999999999997,0.013999999999999999,0,0,0.035,34,0,0.264,0.09300000000000001,0.01,0.588,0,0,34,1,0
villagece,34.058972,-84.507148,1,40.6,0.501,0.9179999999999999,0.031,0,0.040999999999999995,0,0,0,0,0,0.128,1,0,0,0,0,0,701,83309,0.18899999999999997,0.204,0.10400000000000001,0.655,0.044000000000000004,0.15,701,0.223,164100
waikato,43.02633,-71.47103800000001,0.9,25.6,0.525,0.787,0.034,0.003,0.17300000000000001,0,0,0,0,0,0.031,0.705,0.133,0,0,0,0.162,1093,63459,0.299,0.342,0.027000000000000003,0.516,0.022000000000000002,0.087,1163,0.515,227500
wairarapa,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waitaki,38.427847,-84.81050400000001,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wanaka,38.427847,-84.81050400000001,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wellingtonsouth,42.017229,-73.104821,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
westprairievillage,47.67723,-117.605833,0.8,45.7,0.519,0.9440000000000001,0.001,0.001,0.024,0.003,0,0,0,0,0.05,1,0,0,0,0,0,1118,63563,0.153,0.201,0.153,0.82,0.032,0.047,1231,0.08800000000000001,243100
westseattle,47.545503000000004,-122.38018899999999,1,45.9,0.46,0.838,0,0,0.102,0,0,0.019,0,1,0.03,0,0,0,0.36200000000000004,0,0,672,99808,0.413,0.32,0.053,0.604,0,0.071,672,0.183,572000
wncw,35.431404,-83.424353,1,46.4,0.488,0.887,0,0.052000000000000005,0,0,0,0.006,0,1,0.028999999999999998,0.182,0,0,0,0,0.606,413,27422,0.11,0.158,0.11,0.542,0.1,0.20600000000000002,585,0.525,120000
wecompassionatecommunity,42.312090999999995,-82.95437700000001,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
york,39.884617999999996,-76.79669399999999,1,34,0.426,0.774,0.19899999999999998,0,0,0,0.019,0.006999999999999999,1,0,0.062,0.8809999999999999,0,0,0,0,0,685,73350,0.191,0.13,0.038,0.58,0.115,0.091,737,0.562,132500
