timebank,latitude,longitude,geo_accuracy,age_median,female_percent,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific,race_percent_other,race_percent_multi,race_percent_multi_other,race_percent_three,race_percent_hisp,race_percent_hisp_white,race_percent_hisp_black,race_percent_hisp_native,race_percent_hisp_asian,race_percent_hisp_pacific,race_percent_hisp_other,households_number,households_income_median,bachelors_male_percent,bachelors_female_percent,veteran_percent,households_family_percent,households_nowife_percent,households_nohusband_percent,housing_number_units,housing_percent_renters,housing_median_value
isiinc,44.508055999999996,-88.014889,1,41.1,0.45,0.838,0.071,0.073,0.004,0,0.004,0.009000000000000001,0.455,0.545,0.055,0.612,0,0,0,0,0.22399999999999998,634,40625,0.069,0.251,0.063,0.284,0.12,0.055,752,0.634,160800
jeffersoncommunity,39.288990000000005,-77.85972,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jerseyshore,40.271607,-74.015644,1,49.3,0.5,0.8740000000000001,0.005,0.044000000000000004,0,0,0,0,0,0,0.086,0.902,0,0,0.098,0,0,409,103750,0.273,0.353,0.09300000000000001,0.7070000000000001,0,0.087,566,0.059000000000000004,473800
kaitaia,38.427847,-84.81050400000001,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kapiti50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
klc,37.957371,-84.786229,1,48,0.527,0.996,0,0,0,0,0,0,0,0,0.11599999999999999,0.171,0,0,0,0,0.8290000000000001,709,77171,0.213,0.214,0.106,0.794,0.042,0.042,772,0.20600000000000002,299200
khokha,37.329217,-86.364699,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
letsbmore,39.286659,-76.58726999999999,1,31.2,0.5329999999999999,0.87,0,0,0.037000000000000005,0,0,0.035,0.114,0.8859999999999999,0.159,0.061,0,0.046,0,0,0.67,539,90313,0.306,0.32,0.043,0.442,0.114,0.155,634,0.42100000000000004,289100
margination,42.756761,-73.68075400000001,1,47.7,0.604,0.532,0.39,0,0,0,0,0,0,0,0.266,0.332,0,0,0,0,0.6679999999999999,434,31875,0.049,0.145,0.069,0.41,0,0.179,513,0.659,135900
meadville,41.634156,-80.143608,1,40.9,0.435,0.879,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,29833,0.078,0.066,0.08900000000000001,0.557,0.032,0.382,517,0.505,99200
midcanterbury,38.427847,-84.81050400000001,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mk,41.893642,-89.393714,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mttimeexchange,39.620090000000005,-78.29251,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
murihiku,38.427847,-84.81050400000001,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwdi,41.791776,-72.71883199999999,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nbnneighborhoodnetwork,36.100195,-80.246234,0.7,34.8,0.33799999999999997,0.642,0.313,0.005,0.022000000000000002,0,0.004,0,0,0,0.046,0.9390000000000001,0,0,0,0,0.061,1106,50469,0.23399999999999999,0.32799999999999996,0.046,0.196,0.012,0.051,1241,0.8340000000000001,231000
piedmont,35.922748,-79.091964,1,41.6,0.49200000000000005,0.855,0.036000000000000004,0,0.061,0,0.013999999999999999,0,0,0,0.05,0.547,0,0,0,0,0.45299999999999996,826,81691,0.442,0.461,0.053,0.546,0.034,0.027000000000000003,826,0.315,310600
theneighborhoodvillage,37.848017999999996,-122.27468799999998,1,32.8,0.603,0.375,0.424,0,0.16,0,0.018000000000000002,0.006999999999999999,1,0,0.105,0,0,0,0,0,0.93,421,34844,0.48100000000000004,0.243,0.021,0.501,0.048,0.261,462,0.8079999999999999,680100
nerd,29.782751,-95.521405,1,38.6,0.449,0.818,0.006,0,0.159,0,0,0.021,0.643,0.35700000000000004,0.17800000000000002,0.8809999999999999,0,0,0,0,0,456,110833,0.34299999999999997,0.322,0.038,0.8029999999999999,0,0.054000000000000006,475,0.568,1084800
nether-swarthmore,39.899193,-75.352011,1,20.8,0.535,0.78,0.076,0,0.127,0,0,0.005,0.375,0.625,0.068,0.703,0.042,0.042,0,0,0.14400000000000002,262,67115,0.242,0.349,0.04,0.389,0,0,262,0.092,125600
nrv,37.234054,-80.413814,1,22.5,0.7140000000000001,0.7140000000000001,0,0,0.237,0,0,0.016,0,1,0.07200000000000001,0.6829999999999999,0,0,0,0,0.098,384,21862,0.508,0.11599999999999999,0.033,0.23199999999999998,0,0.027000000000000003,428,0.948,0
nola,29.950628000000002,-90.099266,1,35.9,0.46299999999999997,0.109,0.8909999999999999,0,0,0,0,0,0,0,0.05,1,0,0,0,0,0,150,16667,0,0.048,0.098,0.45299999999999996,0.063,0.593,197,0.813,89200
norman,35.220951,-97.51737,0.9,39.1,0.456,0.665,0.245,0.047,0.013000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,590,105081,0.377,0.201,0.113,0.8759999999999999,0,0,638,0.132,250900
ncc,39.72958,-121.81926200000001,1,35.7,0.506,0.764,0,0.013000000000000001,0.073,0,0.011000000000000001,0.045,0.818,0.182,0.509,0.509,0,0.191,0,0,0.21,453,36083,0.23199999999999998,0.183,0.07,0.5870000000000001,0,0.163,516,0.461,140000
northwestnewjersey,41.076639,-74.803426,1,42.8,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,93750,0.19699999999999998,0.401,0.059000000000000004,0.7709999999999999,0.07400000000000001,0.102,259,0.059000000000000004,319400
oahu,21.286753,-157.823645,1,47.9,0.48100000000000004,0.14,0.027000000000000003,0,0.629,0.08,0,0.006999999999999999,0,1,0.03,0.18,0,0,0.6,0,0,944,51875,0.319,0.32799999999999996,0.07200000000000001,0.484,0.055,0.21100000000000002,999,0.585,531900
ojai,34.437236999999996,-119.16461899999999,1,44.4,0.506,0.899,0.006,0,0.049,0,0,0.017,1,0,0.311,0.684,0,0.063,0,0,0.196,317,0,0.153,0.244,0.124,0.5770000000000001,0.146,0.04,340,0.43799999999999994,790800
orexchange,44.257598,-72.574792,1,48,0.573,0.975,0,0,0.001,0,0,0,0,0,0.012,1,0,0,0,0,0,552,44286,0.105,0.192,0.081,0.429,0.171,0.18600000000000003,576,0.736,227300
otaki,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ourcommunity,40.740116,-84.107589,1,45.9,0.308,0.5760000000000001,0.376,0,0,0,0,0,0,0,0.065,0.718,0.282,0,0,0,0,314,14464,0,0.049,0.07400000000000001,0.124,0,0.315,476,1,0
oscab,38.866208,-76.98105699999999,1,31.3,0.444,0.047,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,13125,0.06,0.042,0.035,0.57,0.057,0.456,361,0.82,230400
washingtoncountywi,43.423252000000005,-88.182579,1,36.3,0.54,0.993,0,0,0,0,0,0.015,0,1,0.057,0.602,0,0,0.086,0,0.054000000000000006,756,50568,0.091,0.096,0.067,0.542,0.054000000000000006,0.161,845,0.524,148000
