timebank,sponsor,phone,url_2,facebook,twitter,mission_word_count,mission_sentiment,notes_word_count,notes_sentiment,avg_daily_exchanges,avg_daily_hours,hours_per_exchange,avg_offers,avg_requests,offer_request_ratio,members_starting,members_daily_new,facebook_likes,facebook_followers,twitter_tweets,twitter_following,twitter_followers,categories_total,categories_parent,categories_with_offers,categories_with_requests,talent_per_cat_per_member
changexchange,0.0,1.0,1.0,0.0,0.0,41.0,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
circlenomic,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,40.0,41.0,0.0,0.0,0.0,19.0,11.0,0.0,0.0,0.36363636363636365
citypark,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,11.0,0.42857142857142855,0.0,0.125
columbia,1.0,1.0,1.0,0.0,0.0,7.0,0.4215,0.0,0.0,0.7857142857142857,1.4285714285714286,1.8181818181818183,126.2,114.33333333333333,1.103790087463557,284.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,11.0,0.3645833333333333,0.15625,0.3957319675629535
slocanvalley,1.0,1.0,0.0,0.0,0.0,140.0,0.9927,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.8571428571428571,22.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,12.0,0.16129032258064516,0.0,0.29924242424242425
manasota,0.0,0.0,0.0,0.0,0.0,6.0,0.296,21.0,0.836,0.0,0.0,0.0,10.0,9.0,1.1111111111111112,453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tdn,1.0,1.0,1.0,0.0,0.0,134.0,0.9907,0.0,0.0,0.0,0.0,0.0,6881.0,6857.0,1.0035000729181858,225.0,-0.2857142857142857,0.0,0.0,0.0,0.0,0.0,89.0,12.0,0.5393258426966292,0.20224719101123595,0.3897530864197531
cse,0.0,1.0,0.0,0.0,0.0,128.0,0.9637,0.0,0.0,0.07142857142857142,0.14285714285714285,2.0,80.0,76.0,1.0526315789473684,18.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,12.0,0.19801980198019803,0.22772277227722773,1.0416666666666667
communityskillexchange,1.0,1.0,0.0,0.0,0.0,16.0,0.9413,0.0,0.0,2.142857142857143,2.5714285714285716,1.2000000000000002,41.0,43.333333333333336,0.9461538461538461,58.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,12.0,0.2631578947368421,0.10526315789473684,1.0367816091954023
richmondcounty,1.0,1.0,1.0,0.0,0.0,109.0,0.9517,22.0,0.9062,0.21428571428571427,0.5,2.3333333333333335,75.6,15.533333333333333,4.86695278969957,92.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,89.0,12.0,0.4044943820224719,0.20224719101123595,0.2592391304347826
northfrontenac,1.0,1.0,1.0,0.0,0.0,27.0,0.7717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
katytx,0.0,1.0,1.0,0.0,0.0,61.0,0.9509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crookedriver,0.0,1.0,0.0,1.0,1.0,38.0,0.8834,0.0,0.0,6.142857142857143,16.571428571428573,2.697674418604651,246.0,271.1333333333333,0.9073026801081879,432.0,-7.071428571428571,672.0,671.0,221.0,303.0,213.0,89.0,11.0,0.3707865168539326,0.33707865168539325,0.5257295173961841
danvilledollars,0.0,1.0,0.0,0.0,0.0,23.0,0.8658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,0.0,0.0,0.8636363636363636
dc,0.0,1.0,0.0,1.0,1.0,17.0,0.4588,0.0,0.0,0.0,0.0,0.0,42.13333333333333,38.0,1.1087719298245613,219.0,0.35714285714285715,613.0,614.0,281.0,42.0,348.0,85.0,11.0,0.25882352941176473,0.11764705882352941,0.3347447073474471
dhe,0.0,1.0,0.0,0.0,0.0,21.0,0.6249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,11.0,0.0,0.0,0.21403006442376524
denton,0.0,1.0,0.0,0.0,0.0,20.0,0.8934,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,11.0,0.013513513513513514,0.0,0.26573426573426573
dunedin,1.0,1.0,1.0,1.0,0.0,15.0,0.34,0.0,0.0,1.2857142857142858,6.571428571428571,5.111111111111111,32.733333333333334,32.0,1.0229166666666667,100.0,0.07142857142857142,720.0,717.0,0.0,0.0,0.0,92.0,11.0,0.2391304347826087,0.15217391304347827,0.5634545454545454
durham,1.0,1.0,0.0,0.0,0.0,32.0,0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11.0,0.0,0.0,0.2840909090909091
eann,0.0,1.0,0.0,0.0,0.0,54.0,0.5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
earn,0.0,1.0,0.0,1.0,0.0,49.0,0.8225,0.0,0.0,0.0,0.0,0.0,10.466666666666667,14.0,0.7476190476190476,94.0,0.0,39.0,40.0,0.0,0.0,0.0,87.0,13.0,0.11494252873563218,0.12643678160919541,0.2855973813420622
eastbay,0.0,1.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,1.0,33.0,31.866666666666667,1.0355648535564854,192.0,0.0,297.0,287.0,0.0,0.0,0.0,84.0,13.0,0.17857142857142858,0.13095238095238096,0.16466346153846154
fablabchch,1.0,1.0,0.0,0.0,0.0,18.0,-0.2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fairbanks,1.0,1.0,0.0,0.0,0.0,7.0,0.3182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.0,0.0,0.029411764705882353,0.5636363636363637
farnorth,1.0,1.0,1.0,0.0,0.0,35.0,0.7717,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,0.0,0.0,0.027548209366391185
farmster,1.0,1.0,1.0,0.0,0.0,35.0,0.7783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
flourish,1.0,1.0,1.0,0.0,0.0,50.0,0.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frederick,0.0,1.0,0.0,1.0,0.0,54.0,0.9719,0.0,0.0,0.14285714285714285,0.2857142857142857,2.0,46.0,49.0,0.9387755102040817,91.0,0.0,70.0,72.0,0.0,0.0,0.0,83.0,11.0,0.2891566265060241,0.10843373493975904,0.5844155844155844
ghoodcalgary,0.0,1.0,1.0,1.0,1.0,21.0,0.7645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,7.0,1.0,22.0,12.0,0.0,0.0,0.07777777777777778
karma,1.0,1.0,1.0,0.0,0.0,3.0,-0.1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.5454545454545454
globetable,0.0,1.0,0.0,0.0,0.0,15.0,0.7351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
goodneighborstb,1.0,1.0,1.0,1.0,0.0,48.0,0.9231,0.0,0.0,0.14285714285714285,0.21428571428571427,1.5,12.666666666666666,4.4,2.8787878787878785,24.0,0.14285714285714285,134.0,138.0,0.0,0.0,0.0,72.0,11.0,0.2222222222222222,0.06944444444444445,0.6921717171717171
scgm,1.0,1.0,1.0,0.0,0.0,13.0,0.7269,0.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greatbay,0.0,1.0,0.0,0.0,0.0,19.0,0.8779,0.0,0.0,0.07142857142857142,0.07142857142857142,1.0,34.0,36.0,0.9444444444444444,52.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,11.0,0.28169014084507044,0.014084507042253521,0.33741258741258745
gct,0.0,1.0,0.0,0.0,0.0,25.0,0.8402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greaterheights,1.0,1.0,0.0,0.0,0.0,7.0,0.296,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,11.0,0.1111111111111111,0.09722222222222222,0.38363636363636366
gwtb,1.0,1.0,0.0,0.0,0.0,17.0,0.2732,0.0,0.0,0.0,0.0,0.0,102.0,103.0,0.9902912621359223,202.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,20.0,0.18,0.02,0.051237623762376235
choptank,1.0,1.0,1.0,0.0,0.0,22.0,0.34,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.2777777777777778,0.2222222222222222,0.0707070707070707
healthyoutcomeswin,1.0,1.0,1.0,0.0,0.0,21.0,0.7579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
