timestamp,timebank,facebook,facebook_likes,facebook_followers,twitter,twitter_joined_date,twitter_tweets,twitter_following,twitter_followers
2019-02-03 12:45:00,addington,https://www.facebook.com/Addingtontimebank/,169,172,,,,,
2019-02-03 12:45:00,aha,,,,,,,,
2019-02-03 12:45:00,alticultura,,,,,,,,
2019-02-03 12:45:00,andersoncommunity,,,,,,,,
2019-02-03 12:45:00,ate,https://www.facebook.com/Appalachian-Time-Exchange-1880605175557953/,page unavailable,page unavailable,,,,,
2019-02-03 12:45:00,avl,,,,,,,,
2019-02-03 12:45:00,atx,https://www.facebook.com/athenstimeexchange,561,553,,,,,
2019-02-03 12:45:00,labodunautilus,https://www.facebook.com/labodunautilus/,349,374,,,,,
2019-02-03 12:45:00,blackhills,,,,,,,,
2019-02-03 12:45:00,ujimaboston,https://www.facebook.com/jptimeexchange/,244,244,,,,,
2019-02-03 12:45:00,brattleboro,https://www.facebook.com/brattleborotimetradeVT/,824,801,,,,,
2019-02-03 12:45:00,bridge2rocks,https://www.facebook.com/Bridge2RocksTimeBank/,159,159,,,,,
2019-02-03 12:45:00,capeann,https://www.facebook.com/capeanntimebank/,318,306,,,,,
2019-02-03 12:45:00,care,,,,,,,,
2019-02-03 12:45:00,engaging,https://www.facebook.com/EngagingCaregivers/,6,6,,,,,
2019-02-03 12:45:00,cris,https://www.facebook.com/cazenoviatimebank,152,153,,,,,
2019-02-03 12:45:00,centraliowa,,,,,,,,
2019-02-03 12:45:00,lincolnskillshare,,,,,,,,
2019-02-03 12:45:00,nzcentralpermaculture,,,,,,,,
2019-02-03 12:45:00,changexchange,,,,,,,,
2019-02-03 12:45:00,circlenomic,https://www.facebook.com/Circlenomic/,40,41,https://twitter.com/circlenomic,account suspended,account suspended,account suspended,account suspended
2019-02-03 12:45:00,citypark,,,,,,,,
2019-02-03 12:45:00,columbia,,,,,,,,
2019-02-03 12:45:00,slocanvalley,,,,,,,,
2019-02-03 12:45:00,manasota,,,,,,,,
2019-02-03 12:45:00,tdn,,,,,,,,
2019-02-03 12:45:00,cse,,,,,,,,
2019-02-03 12:45:00,communityskillexchange,,,,,,,,
2019-02-03 12:45:00,richmondcounty,,,,,,,,
2019-02-03 12:45:00,northfrontenac,,,,,,,,
2019-02-03 12:45:00,katytx,,,,,,,,
2019-02-03 12:45:00,crookedriver,https://www.facebook.com/cratohio,672,671,https://twitter.com/kent_timebank,2013-11,221,303,213
2019-02-03 12:45:00,danvilledollars,,,,,,,,
2019-02-03 12:45:00,dc,https://www.facebook.com/dctimebank,613,614,https://twitter.com/DCTimeBank,2010-07,281,42,348
2019-02-03 12:45:00,dhe,,,,,,,,
2019-02-03 12:45:00,denton,,,,,,,,
2019-02-03 12:45:00,dunedin,https://www.facebook.com/dunedintimebank/,720,717,,,,,
2019-02-03 12:45:00,durham,,,,,,,,
2019-02-03 12:45:00,eann,,,,,,,,
2019-02-03 12:45:00,earn,https://www.facebook.com/earn.timebanks/,39,40,,,,,
2019-02-03 12:45:00,eastbay,http://www.facebook.com/pages/Eastbay-Timebank/91049872322,297,287,,,,,
2019-02-03 12:45:00,fablabchch,,,,,,,,
2019-02-03 12:45:00,fairbanks,,,,,,,,
2019-02-03 12:45:00,farnorth,,,,,,,,
2019-02-03 12:45:00,farmster,,,,,,,,
2019-02-03 12:45:00,flourish,,,,,,,,
