exchanges,hours,last_exchange,members,offers,requests,timebank,timestamp
none (start up),none (start up),none (start up),2,0,0,northfrontenac,2019-01-25 09:21:37
5,22,3 years 20 weeks ago,11,0,0,katytx,2019-01-25 09:21:37
22501,68955,12 hours 13 min ago,371,246,271,crookedriver,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,danvilledollars,2019-01-25 09:21:37
361,1080,7 weeks 2 days ago,219,42,38,dc,2019-01-25 09:21:37
405,1285,1 year 8 weeks ago,127,0,0,dhe,2019-01-25 09:21:37
4,5,1 year 25 weeks ago,52,1,1,denton,2019-01-25 09:21:37
645,5341,13 hours 26 min ago,100,33,33,dunedin,2019-01-25 09:21:37
none (start up),none (start up),none (start up),8,0,0,durham,2019-01-25 09:21:37
none (start up),none (start up),none (start up),4,0,0,eann,2019-01-25 09:21:37
227,811,1 week 1 day ago,94,11,14,earn,2019-01-25 09:21:37
5646,19627,3 days 18 hours ago,192,33,32,eastbay,2019-01-25 09:21:37
10,119,2 years 29 weeks ago,6,0,0,fablabchch,2019-01-25 09:21:37
1,1,28 weeks 3 days ago,5,0,1,fairbanks,2019-01-25 09:21:37
3,12,32 weeks 2 days ago,33,1,1,farnorth,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,farmster,2019-01-25 09:21:37
1,1,2 years 18 weeks ago,6,0,0,flourish,2019-01-25 09:21:37
721,1599,2 weeks 4 days ago,91,46,49,frederick,2019-01-25 09:21:37
1,1,1 year 37 weeks ago,15,0,0,ghoodcalgary,2019-01-25 09:21:37
none (start up),none (start up),none (start up),1,0,0,karma,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,globetable,2019-01-25 09:21:37
21,51,1 week 3 days ago,24,11,5,goodneighborstb,2019-01-25 09:21:37
4,13,3 years 5 weeks ago,14,9,9,scgm,2019-01-25 09:21:37
519,1179,3 days 13 hours ago,52,34,36,greatbay,2019-01-25 09:21:37
10,25,3 years 5 weeks ago,8,0,0,gct,2019-01-25 09:21:37
59,99,46 weeks 3 days ago,50,12,12,greaterheights,2019-01-25 09:21:37
326,1282,32 weeks 6 days ago,202,102,103,gwtb,2019-01-25 09:21:37
23,111,12 weeks 23 hours ago,9,10,10,choptank,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,healthyoutcomeswin,2019-01-25 09:21:37
38,47,2 years 5 weeks ago,31,0,0,bc-historyofmoney,2019-01-25 09:21:37
none (start up),none (start up),none (start up),1,0,0,hopexchange,2019-01-25 09:21:37
49,106,1 year 37 weeks ago,42,3,3,hour4ourworld,2019-01-25 09:21:37
25,60,22 weeks 15 hours ago,38,19,19,hourcommunityinterfaith,2019-01-25 09:21:37
116,117,3 days 22 hours ago,50,9,9,isiinc,2019-01-25 09:21:37
16,49,20 weeks 3 days ago,66,8,8,jeffersoncommunity,2019-01-25 09:21:37
117,189,1 year 4 weeks ago,37,3,3,jerseyshore,2019-01-25 09:21:37
2193,11159,8 hours 35 min ago,119,75,84,kaitaia,2019-01-25 09:21:37
none (start up),none (start up),none (start up),3,0,0,kapiti50,2019-01-25 09:21:37
none (start up),none (start up),none (start up),1,0,0,klc,2019-01-25 09:21:37
1,2,3 years 25 weeks ago,4,0,0,khokha,2019-01-25 09:21:37
72,179,23 weeks 4 days ago,120,15,20,letsbmore,2019-01-25 09:21:37
none (start up),none (start up),none (start up),11,0,0,margination,2019-01-25 09:21:37
5,5,1 year 48 weeks ago,6,0,0,meadville,2019-01-25 09:21:37
1372,4314,1 day 5 hours ago,152,41,80,midcanterbury,2019-01-25 09:21:37
161,414,3 years 15 weeks ago,29,1,1,mk,2019-01-25 09:21:37
2,4,2 years 14 weeks ago,5,0,0,mttimeexchange,2019-01-25 09:21:37
117,371,16 weeks 5 days ago,67,10,5,murihiku,2019-01-25 09:21:37
none (start up),none (start up),none (start up),17,0,0,mwdi,2019-01-25 09:21:37
263,2245,5 weeks 1 day ago,467,18,9,nbnneighborhoodnetwork,2019-01-25 09:21:37
31,34,18 weeks 4 days ago,18,9,4,piedmont,2019-01-25 09:21:37
none (start up),none (start up),none (start up),3,0,0,theneighborhoodvillage,2019-01-25 09:21:37
53,152,2 years 40 weeks ago,17,0,0,nerd,2019-01-25 09:21:37
201,344,6 days 20 hours ago,127,38,29,nether-swarthmore,2019-01-25 09:21:37
782,2069,1 week 15 hours ago,145,64,59,nrv,2019-01-25 09:21:37
1216,2804,2 weeks 3 days ago,362,156,156,nola,2019-01-25 09:21:37
none (start up),none (start up),none (start up),5,2,2,norman,2019-01-25 09:21:37
none (start up),none (start up),none (start up),3,0,0,ncc,2019-01-25 09:21:37
1613,4291,1 week 1 day ago,137,35,26,northwestnewjersey,2019-01-25 09:21:37
31,86,3 years 25 weeks ago,87,0,0,oahu,2019-01-25 09:21:37
60,106,9 weeks 4 days ago,40,33,24,ojai,2019-01-25 09:21:37
16452,49342,19 hours 53 min ago,164,198,197,orexchange,2019-01-25 09:21:37
2778,7396,8 weeks 6 days ago,74,8,8,otaki,2019-01-25 09:21:37
10,23,2 years 44 weeks ago,6,1,1,ourcommunity,2019-01-25 09:21:37
49,253,1 year 49 weeks ago,32,0,0,oscab,2019-01-25 09:21:37
160,231,1 year 39 weeks ago,44,14,14,washingtoncountywi,2019-01-25 09:21:37
5,8,3 years 41 weeks ago,19,18,18,pay4wardbank,2019-01-25 09:21:37
11943,41239,8 hours 28 min ago,164,50,68,patb,2019-01-25 09:21:37
177,406,2 days 14 hours ago,24,5,8,porirua,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,pridestl,2019-01-25 09:21:37
363,864,1 year 51 weeks ago,77,5,8,projectbunbury,2019-01-25 09:21:37
107,344,1 week 3 days ago,32,43,46,reciprocity,2019-01-25 09:21:37
3,7,1 year 34 weeks ago,12,0,0,rvtb,2019-01-25 09:21:37
none (start up),none (start up),none (start up),5,3,3,scouts,2019-01-25 09:21:37
1966,4542,9 hours 11 min ago,216,122,128,sebastopolarea,2019-01-25 09:21:37
5161,16941,2 years 29 weeks ago,157,0,0,sobrantepark,2019-01-25 09:21:37
121,483,15 hours 53 min ago,23,15,8,springhillfl,2019-01-25 09:21:37
2,29856,27 weeks 6 days ago,9,2,2,spurt,2019-01-25 09:21:37
3288,7769,45 min 4 sec ago,167,180,210,stpete,2019-01-25 09:21:37
2,7,17 weeks 5 days ago,126,5,4,startribehours,2019-01-25 09:21:37
1965,4761,2 days 8 hours ago,51,105,93,swel,2019-01-25 09:21:37
29,149,37 weeks 2 days ago,28,16,9,takomatime,2019-01-25 09:21:37
12,52,46 weeks 3 days ago,12,17,16,taneycounty,2019-01-25 09:21:37
2530,5753,5 hours 23 min ago,292,62,64,taranaki,2019-01-25 09:21:37
1,2,12 weeks 4 days ago,19,1,2,thecommunityproject,2019-01-25 09:21:37
3000,6083,1 day 6 hours ago,266,48,35,huttsouth,2019-01-25 09:21:37
11925,153372,6 hours 34 min ago,861,15,25,lyttelton,2019-01-25 09:21:37
1,2,2 years 1 day ago,10,1,1,sanctuaryseniorvillage,2019-01-25 09:21:37
4512,7863,6 weeks 3 days ago,65,161,160,tierrasanta,2019-01-25 09:21:37
3,3,3 years 25 weeks ago,18,0,0,galesburgil,2019-01-25 09:21:37
446,1950,1 year 12 weeks ago,209,2,2,westmilford,2019-01-25 09:21:37
476,917,14 hours 22 min ago,119,83,81,stannsbay,2019-01-25 09:21:37
21,42,11 weeks 4 days ago,16,1,4,kaikoura,2019-01-25 09:21:37
4539,28675,4 days 15 hours ago,176,79,84,mainetime,2019-01-25 09:21:37
26,647,12 weeks 4 days ago,24,3,3,newzealand,2019-01-25 09:21:37
95,61,2 years 3 weeks ago,79,1,1,tbfredericton,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,tbhawaii,2019-01-25 09:21:37
3434,14912,3 days 19 hours ago,340,19,16,hurunui,2019-01-25 09:21:37
441,2953,13 weeks 4 days ago,165,31,32,mcs1stopindy,2019-01-25 09:21:37
730,1995,4 weeks 3 days ago,87,41,43,manawatu,2019-01-25 09:21:37
3915,16326,29 weeks 2 days ago,349,10,9,media,2019-01-25 09:21:37
727,3136,2 hours 7 min ago,9,54,56,nb,2019-01-25 09:21:37
2239,5071,13 hours 23 min ago,117,38,30,raglan,2019-01-25 09:21:37
1697,8176,10 hours 27 min ago,73,27,25,upperhutt,2019-01-25 09:21:37
30,87,4 days 15 hours ago,23,7,7,waimakariri,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,tb13069,2019-01-25 09:21:37
2491,5595,16 hours 58 min ago,184,29,23,tops,2019-01-25 09:21:37
9756,37459,2 days 12 hours ago,655,1,1,korea,2019-01-25 09:21:37
37,63,3 years 34 weeks ago,33,4,4,tlv,2019-01-25 09:21:37
317,1563,19 hours 40 min ago,133,23,29,timeforall,2019-01-25 09:21:37
579,3717,1 year 32 weeks ago,97,4,4,timetradersnorth,2019-01-25 09:21:37
19,170,3 weeks 1 day ago,52,3,6,togetherwecan,2019-01-25 09:21:37
136,317,24 weeks 3 days ago,41,15,15,tullyarea,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,ubuntu,2019-01-25 09:21:37
2010,7472,15 hours 26 min ago,329,5,2,udc,2019-01-25 09:21:37
188,683,2 days 8 hours ago,94,13,19,unityexchange,2019-01-25 09:21:37
none (start up),none (start up),none (start up),2,0,0,uva,2019-01-25 09:21:37
112,217,3 years 1 week ago,36,0,0,villagece,2019-01-25 09:21:37
1913,4686,20 weeks 3 days ago,245,12,10,waikato,2019-01-25 09:21:37
159,324,1 week 3 days ago,62,67,66,wairarapa,2019-01-25 09:21:37
227,372,48 weeks 6 days ago,44,2,3,waitaki,2019-01-25 09:21:37
57,920,28 weeks 4 days ago,55,3,3,wanaka,2019-01-25 09:21:37
8520,21892,14 hours 33 min ago,595,78,107,wellingtonsouth,2019-01-25 09:21:37
35,61,26 weeks 1 day ago,17,2,4,westprairievillage,2019-01-25 09:21:37
3445,9828,10 hours 29 min ago,407,59,79,westseattle,2019-01-25 09:21:37
1,1,1 year 32 weeks ago,10,0,0,wncw,2019-01-25 09:21:37
20,30,2 years 30 weeks ago,25,0,0,wecompassionatecommunity,2019-01-25 09:21:37
158,1058,1 week 2 days ago,151,10,9,york,2019-01-25 09:21:37
1133,5998,3 days 8 hours ago,179,36,29,addington,2019-01-26 10:45:04
439,1375,2 years 42 weeks ago,207,0,0,aha,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,alticultura,2019-01-26 10:45:04
2,3,3 years 13 weeks ago,8,0,0,andersoncommunity,2019-01-26 10:45:04
1,5,1 year 31 weeks ago,8,4,4,ate,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,avl,2019-01-26 10:45:04
2179,4889,5 weeks 6 days ago,58,90,80,atx,2019-01-26 10:45:04
7,14,1 year 47 weeks ago,11,0,0,labodunautilus,2019-01-26 10:45:04
74,384,5 weeks 4 days ago,37,2,2,blackhills,2019-01-26 10:45:04
201,1147,1 day 14 hours ago,177,61,50,ujimaboston,2019-01-26 10:45:04
17413,52393,16 hours 25 min ago,170,161,194,brattleboro,2019-01-26 10:45:04
1047,6076,2 days 16 hours ago,174,26,32,bridge2rocks,2019-01-26 10:45:04
10985,26278,1 day 18 hours ago,124,106,118,capeann,2019-01-26 10:45:04
396,913,6 days 19 hours ago,50,11,4,care,2019-01-26 10:45:04
5,6,1 year 7 weeks ago,2,0,0,engaging,2019-01-26 10:45:04
834,2044,4 days 22 hours ago,108,31,32,cris,2019-01-26 10:45:04
none (start up),none (start up),none (start up),4,0,0,centraliowa,2019-01-26 10:45:04
56,102,6 weeks 2 days ago,71,14,14,lincolnskillshare,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture,2019-01-26 10:45:04
none (start up),none (start up),none (start up),5,0,0,changexchange,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,circlenomic,2019-01-26 10:45:04
none (start up),none (start up),none (start up),8,4,4,citypark,2019-01-26 10:45:04
6307,14395,3 days 17 hours ago,284,123,115,columbia,2019-01-26 10:45:04
6,18,3 weeks 21 hours ago,22,6,7,slocanvalley,2019-01-26 10:45:04
625,7712,3 years 38 weeks ago,453,10,9,manasota,2019-01-26 10:45:04
30191,209344,1 week 1 day ago,222,6881,6857,tdn,2019-01-26 10:45:04
380,975,3 days 20 hours ago,18,80,76,cse,2019-01-26 10:45:04
1442,4894,15 hours 13 min ago,58,41,44,communityskillexchange,2019-01-26 10:45:04
69,117,21 hours 34 min ago,92,78,16,richmondcounty,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,northfrontenac,2019-01-26 10:45:04
5,22,3 years 20 weeks ago,11,0,0,katytx,2019-01-26 10:45:04
22507,68975,13 hours 3 min ago,328,242,270,crookedriver,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,danvilledollars,2019-01-26 10:45:04
361,1080,7 weeks 3 days ago,219,42,38,dc,2019-01-26 10:45:04
405,1285,1 year 8 weeks ago,127,0,0,dhe,2019-01-26 10:45:04
4,5,1 year 25 weeks ago,52,1,1,denton,2019-01-26 10:45:04
645,5341,1 day 14 hours ago,100,33,33,dunedin,2019-01-26 10:45:04
none (start up),none (start up),none (start up),8,0,0,durham,2019-01-26 10:45:04
none (start up),none (start up),none (start up),4,0,0,eann,2019-01-26 10:45:04
227,811,1 week 2 days ago,94,11,14,earn,2019-01-26 10:45:04
5646,19627,4 days 19 hours ago,192,33,32,eastbay,2019-01-26 10:45:04
10,119,2 years 29 weeks ago,6,0,0,fablabchch,2019-01-26 10:45:04
1,1,28 weeks 4 days ago,5,0,1,fairbanks,2019-01-26 10:45:04
3,12,32 weeks 3 days ago,33,1,1,farnorth,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,farmster,2019-01-26 10:45:04
1,1,2 years 19 weeks ago,6,0,0,flourish,2019-01-26 10:45:04
723,1603,20 hours 5 min ago,91,46,49,frederick,2019-01-26 10:45:04
1,1,1 year 37 weeks ago,15,0,0,ghoodcalgary,2019-01-26 10:45:04
none (start up),none (start up),none (start up),1,0,0,karma,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,globetable,2019-01-26 10:45:04
21,51,1 week 4 days ago,24,11,5,goodneighborstb,2019-01-26 10:45:04
4,13,3 years 6 weeks ago,14,9,9,scgm,2019-01-26 10:45:04
519,1179,4 days 14 hours ago,52,34,36,greatbay,2019-01-26 10:45:04
10,25,3 years 5 weeks ago,8,0,0,gct,2019-01-26 10:45:04
59,99,46 weeks 4 days ago,50,12,12,greaterheights,2019-01-26 10:45:04
326,1282,33 weeks 18 hours ago,202,102,103,gwtb,2019-01-26 10:45:04
23,111,12 weeks 2 days ago,9,10,10,choptank,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,healthyoutcomeswin,2019-01-26 10:45:04
38,47,2 years 5 weeks ago,31,0,0,bc-historyofmoney,2019-01-26 10:45:04
none (start up),none (start up),none (start up),1,0,0,hopexchange,2019-01-26 10:45:04
49,106,1 year 37 weeks ago,42,3,3,hour4ourworld,2019-01-26 10:45:04
25,60,22 weeks 1 day ago,38,19,19,hourcommunityinterfaith,2019-01-26 10:45:04
116,117,4 days 23 hours ago,50,9,9,isiinc,2019-01-26 10:45:04
16,49,20 weeks 4 days ago,66,8,8,jeffersoncommunity,2019-01-26 10:45:04
117,189,1 year 4 weeks ago,37,3,3,jerseyshore,2019-01-26 10:45:04
2194,11162,11 hours 41 min ago,119,75,84,kaitaia,2019-01-26 10:45:04
none (start up),none (start up),none (start up),3,0,0,kapiti50,2019-01-26 10:45:04
none (start up),none (start up),none (start up),1,0,0,klc,2019-01-26 10:45:04
1,2,3 years 25 weeks ago,4,0,0,khokha,2019-01-26 10:45:04
72,179,23 weeks 5 days ago,120,15,20,letsbmore,2019-01-26 10:45:04
none (start up),none (start up),none (start up),11,0,0,margination,2019-01-26 10:45:04
5,5,1 year 48 weeks ago,6,0,0,meadville,2019-01-26 10:45:04
1373,4315,14 hours 12 min ago,152,41,81,midcanterbury,2019-01-26 10:45:04
161,414,3 years 15 weeks ago,29,1,1,mk,2019-01-26 10:45:04
2,4,2 years 14 weeks ago,5,0,0,mttimeexchange,2019-01-26 10:45:04
117,371,16 weeks 6 days ago,67,10,5,murihiku,2019-01-26 10:45:04
none (start up),none (start up),none (start up),17,0,0,mwdi,2019-01-26 10:45:04
263,2245,5 weeks 2 days ago,467,18,9,nbnneighborhoodnetwork,2019-01-26 10:45:04
31,34,18 weeks 5 days ago,18,9,4,piedmont,2019-01-26 10:45:04
none (start up),none (start up),none (start up),3,0,0,theneighborhoodvillage,2019-01-26 10:45:04
53,152,2 years 40 weeks ago,17,0,0,nerd,2019-01-26 10:45:04
201,344,1 week 22 hours ago,127,38,28,nether-swarthmore,2019-01-26 10:45:04
783,2071,3 hours 45 min ago,145,64,59,nrv,2019-01-26 10:45:04
1216,2804,2 weeks 4 days ago,362,156,156,nola,2019-01-26 10:45:04
none (start up),none (start up),none (start up),5,2,2,norman,2019-01-26 10:45:04
none (start up),none (start up),none (start up),3,0,0,ncc,2019-01-26 10:45:04
1613,4291,1 week 2 days ago,137,35,26,northwestnewjersey,2019-01-26 10:45:04
31,86,3 years 25 weeks ago,87,0,0,oahu,2019-01-26 10:45:04
60,106,9 weeks 5 days ago,40,33,24,ojai,2019-01-26 10:45:04
16453,49350,21 hours 14 min ago,164,198,198,orexchange,2019-01-26 10:45:04
2778,7396,9 weeks 10 hours ago,74,8,8,otaki,2019-01-26 10:45:04
10,23,2 years 44 weeks ago,6,1,1,ourcommunity,2019-01-26 10:45:04
49,253,1 year 49 weeks ago,32,0,0,oscab,2019-01-26 10:45:04
160,231,1 year 39 weeks ago,44,14,14,washingtoncountywi,2019-01-26 10:45:04
5,8,3 years 41 weeks ago,19,18,18,pay4wardbank,2019-01-26 10:45:04
11953,41256,1 hour 4 min ago,164,50,68,patb,2019-01-26 10:45:04
177,406,3 days 16 hours ago,24,5,8,porirua,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,pridestl,2019-01-26 10:45:04
363,864,1 year 51 weeks ago,77,5,8,projectbunbury,2019-01-26 10:45:04
107,344,1 week 4 days ago,32,43,46,reciprocity,2019-01-26 10:45:04
3,7,1 year 34 weeks ago,12,0,0,rvtb,2019-01-26 10:45:04
none (start up),none (start up),none (start up),5,3,3,scouts,2019-01-26 10:45:04
1968,4546,10 hours 5 min ago,216,122,128,sebastopolarea,2019-01-26 10:45:04
5161,16941,2 years 29 weeks ago,157,0,0,sobrantepark,2019-01-26 10:45:04
124,487,10 hours 49 min ago,23,15,8,springhillfl,2019-01-26 10:45:04
2,29856,28 weeks 2 hours ago,9,2,2,spurt,2019-01-26 10:45:04
3299,7790,12 hours 57 min ago,167,180,211,stpete,2019-01-26 10:45:04
2,7,17 weeks 6 days ago,126,5,4,startribehours,2019-01-26 10:45:04
1965,4761,3 days 10 hours ago,51,105,93,swel,2019-01-26 10:45:04
29,149,37 weeks 3 days ago,28,16,9,takomatime,2019-01-26 10:45:04
12,52,46 weeks 4 days ago,12,17,16,taneycounty,2019-01-26 10:45:04
2531,5756,6 hours 59 min ago,292,61,64,taranaki,2019-01-26 10:45:04
1,2,12 weeks 5 days ago,19,1,2,thecommunityproject,2019-01-26 10:45:04
3002,6086,9 hours 45 min ago,266,47,36,huttsouth,2019-01-26 10:45:04
11925,153372,1 day 7 hours ago,861,15,25,lyttelton,2019-01-26 10:45:04
1,2,2 years 2 days ago,10,1,1,sanctuaryseniorvillage,2019-01-26 10:45:04
4512,7863,6 weeks 4 days ago,65,161,160,tierrasanta,2019-01-26 10:45:04
3,3,3 years 25 weeks ago,18,0,0,galesburgil,2019-01-26 10:45:04
446,1950,1 year 12 weeks ago,209,2,2,westmilford,2019-01-26 10:45:04
478,921,23 hours 57 min ago,119,83,81,stannsbay,2019-01-26 10:45:04
21,42,11 weeks 5 days ago,16,1,4,kaikoura,2019-01-26 10:45:04
4539,28675,5 days 17 hours ago,176,79,84,mainetime,2019-01-26 10:45:04
26,647,12 weeks 5 days ago,24,3,3,newzealand,2019-01-26 10:45:04
95,61,2 years 3 weeks ago,79,1,1,tbfredericton,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,tbhawaii,2019-01-26 10:45:04
3435,14915,15 hours 5 min ago,340,19,16,hurunui,2019-01-26 10:45:04
441,2953,13 weeks 5 days ago,165,31,32,mcs1stopindy,2019-01-26 10:45:04
730,1995,4 weeks 4 days ago,87,40,44,manawatu,2019-01-26 10:45:04
3915,16326,29 weeks 3 days ago,349,10,9,media,2019-01-26 10:45:04
727,3136,1 day 3 hours ago,9,54,56,nb,2019-01-26 10:45:04
2239,5071,1 day 14 hours ago,117,38,30,raglan,2019-01-26 10:45:04
1697,8176,1 day 11 hours ago,74,28,26,upperhutt,2019-01-26 10:45:04
30,87,5 days 17 hours ago,23,7,7,waimakariri,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,tb13069,2019-01-26 10:45:04
2491,5595,1 day 18 hours ago,184,29,23,tops,2019-01-26 10:45:04
9756,37459,3 days 14 hours ago,655,1,1,korea,2019-01-26 10:45:04
37,63,3 years 34 weeks ago,33,4,4,tlv,2019-01-26 10:45:04
317,1563,1 day 21 hours ago,133,23,29,timeforall,2019-01-26 10:45:04
579,3717,1 year 32 weeks ago,97,4,4,timetradersnorth,2019-01-26 10:45:04
19,170,3 weeks 2 days ago,53,4,6,togetherwecan,2019-01-26 10:45:04
136,317,24 weeks 5 days ago,41,15,15,tullyarea,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,ubuntu,2019-01-26 10:45:04
2010,7472,1 day 16 hours ago,329,5,2,udc,2019-01-26 10:45:04
188,683,3 days 9 hours ago,94,13,19,unityexchange,2019-01-26 10:45:04
none (start up),none (start up),none (start up),2,0,0,uva,2019-01-26 10:45:04
112,217,3 years 1 week ago,36,0,0,villagece,2019-01-26 10:45:04
1913,4686,20 weeks 4 days ago,245,12,10,waikato,2019-01-26 10:45:04
159,324,1 week 4 days ago,62,67,66,wairarapa,2019-01-26 10:45:04
227,372,49 weeks 14 hours ago,44,2,3,waitaki,2019-01-26 10:45:04
57,920,28 weeks 5 days ago,55,3,3,wanaka,2019-01-26 10:45:04
8523,21897,7 hours 48 min ago,595,78,107,wellingtonsouth,2019-01-26 10:45:04
35,61,26 weeks 2 days ago,17,2,4,westprairievillage,2019-01-26 10:45:04
3446,9830,14 hours 56 min ago,407,59,79,westseattle,2019-01-26 10:45:04
1,1,1 year 32 weeks ago,10,0,0,wncw,2019-01-26 10:45:04
20,30,2 years 30 weeks ago,25,0,0,wecompassionatecommunity,2019-01-26 10:45:04
158,1058,1 week 3 days ago,151,10,9,york,2019-01-26 10:45:04
1133,5998,4 days 7 hours ago,179,36,29,addington,2019-01-27 09:44:54
439,1375,2 years 42 weeks ago,207,0,0,aha,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,alticultura,2019-01-27 09:44:54
2,3,3 years 13 weeks ago,8,0,0,andersoncommunity,2019-01-27 09:44:54
1,5,1 year 31 weeks ago,8,4,4,ate,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,avl,2019-01-27 09:44:54
2179,4889,6 weeks 18 hours ago,58,90,80,atx,2019-01-27 09:44:54
7,14,1 year 47 weeks ago,11,0,0,labodunautilus,2019-01-27 09:44:54
74,384,5 weeks 5 days ago,37,2,2,blackhills,2019-01-27 09:44:54
201,1147,2 days 13 hours ago,177,61,50,ujimaboston,2019-01-27 09:44:54
17420,52417,12 hours 2 min ago,169,160,193,brattleboro,2019-01-27 09:44:54
1047,6076,3 days 15 hours ago,174,26,32,bridge2rocks,2019-01-27 09:44:54
10985,26278,2 days 17 hours ago,124,106,118,capeann,2019-01-27 09:44:54
396,913,1 week 18 hours ago,50,11,4,care,2019-01-27 09:44:54
5,6,1 year 7 weeks ago,2,0,0,engaging,2019-01-27 09:44:54
834,2044,5 days 21 hours ago,108,31,32,cris,2019-01-27 09:44:54
none (start up),none (start up),none (start up),4,0,0,centraliowa,2019-01-27 09:44:54
56,102,6 weeks 3 days ago,71,14,14,lincolnskillshare,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture,2019-01-27 09:44:54
none (start up),none (start up),none (start up),5,0,0,changexchange,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,circlenomic,2019-01-27 09:44:54
none (start up),none (start up),none (start up),8,4,4,citypark,2019-01-27 09:44:54
6308,14397,18 hours 26 min ago,281,123,115,columbia,2019-01-27 09:44:54
6,18,3 weeks 1 day ago,22,6,7,slocanvalley,2019-01-27 09:44:54
625,7712,3 years 38 weeks ago,453,10,9,manasota,2019-01-27 09:44:54
30191,209344,1 week 2 days ago,222,6881,6857,tdn,2019-01-27 09:44:54
380,975,4 days 19 hours ago,18,80,76,cse,2019-01-27 09:44:54
1442,4894,1 day 14 hours ago,58,41,44,communityskillexchange,2019-01-27 09:44:54
69,117,1 day 20 hours ago,93,78,16,richmondcounty,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,northfrontenac,2019-01-27 09:44:54
5,22,3 years 20 weeks ago,11,0,0,katytx,2019-01-27 09:44:54
22513,68987,7 min 27 sec ago,328,243,270,crookedriver,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,danvilledollars,2019-01-27 09:44:54
361,1080,7 weeks 4 days ago,219,42,38,dc,2019-01-27 09:44:54
405,1285,1 year 8 weeks ago,127,0,0,dhe,2019-01-27 09:44:54
4,5,1 year 25 weeks ago,52,1,1,denton,2019-01-27 09:44:54
645,5341,2 days 13 hours ago,100,33,32,dunedin,2019-01-27 09:44:54
none (start up),none (start up),none (start up),8,0,0,durham,2019-01-27 09:44:54
none (start up),none (start up),none (start up),4,0,0,eann,2019-01-27 09:44:54
227,811,1 week 3 days ago,94,11,14,earn,2019-01-27 09:44:54
5646,19627,5 days 18 hours ago,192,33,32,eastbay,2019-01-27 09:44:54
10,119,2 years 29 weeks ago,6,0,0,fablabchch,2019-01-27 09:44:54
1,1,28 weeks 5 days ago,5,0,1,fairbanks,2019-01-27 09:44:54
3,12,32 weeks 4 days ago,33,1,1,farnorth,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,farmster,2019-01-27 09:44:54
1,1,2 years 19 weeks ago,6,0,0,flourish,2019-01-27 09:44:54
723,1603,1 day 19 hours ago,91,46,49,frederick,2019-01-27 09:44:54
1,1,1 year 37 weeks ago,15,0,0,ghoodcalgary,2019-01-27 09:44:54
none (start up),none (start up),none (start up),1,0,0,karma,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,globetable,2019-01-27 09:44:54
21,51,1 week 5 days ago,24,11,5,goodneighborstb,2019-01-27 09:44:54
4,13,3 years 6 weeks ago,14,9,9,scgm,2019-01-27 09:44:54
519,1179,5 days 13 hours ago,52,34,36,greatbay,2019-01-27 09:44:54
10,25,3 years 5 weeks ago,8,0,0,gct,2019-01-27 09:44:54
59,99,46 weeks 5 days ago,50,12,12,greaterheights,2019-01-27 09:44:54
326,1282,33 weeks 1 day ago,202,102,103,gwtb,2019-01-27 09:44:54
23,111,12 weeks 3 days ago,9,10,10,choptank,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,healthyoutcomeswin,2019-01-27 09:44:54
38,47,2 years 5 weeks ago,31,0,0,bc-historyofmoney,2019-01-27 09:44:54
none (start up),none (start up),none (start up),1,0,0,hopexchange,2019-01-27 09:44:54
49,106,1 year 37 weeks ago,42,3,3,hour4ourworld,2019-01-27 09:44:54
